sample	fastq	pct_aligned	sample	gene_count	mass	mar	rsq	system
L1210trap_G04_S172_comb	1	1	113	4899	68.10676197	1.874872347	0.072586313	1
L1210trap_F04_S160_comb	1	1	114	6469	62.60070415	4.549010859	0.98780896	1
L1210trap_E04_S148_comb	1	1	115	3726	38.52416607	2.916277077	0.955845178	1
L1210trap_D04_S136_comb	1	1	116	5060	43.82739272	3.076015911	0.975019732	1
L1210trap_C04_S124_comb	1	1	117	4954	37.10718806	1.96919162	0.848002881	1
L1210trap_B04_S112_comb	1	1	118	5671	36.85252463	7.116515771	0.563085993	1
L1210trap_H05_S185_comb	1	1	119	6115	45.19955509	3.859828833	0.9587856	1
L1210trap_G05_S173_comb	1	1	120	6974	66.56481584	5.119433231	0.982771537	1
L1210trap_F05_S161_comb	1	1	121	1109	39.286406	2.740318543	0.96256433	1
L1210trap_E05_S149_comb	1	1	122	4829	51.00624731	3.745739841	0.980482672	1
L1210trap_D05_S137_comb	1	1	123	2668	54.77751653	3.800210411	0.988230391	1
L1210trap_C05_S125_comb	1	1	124	91	42.15194733	2.491099936	0.977901636	1
L1210trap_B05_S113_comb	1	1	125	4298	34.94648239	1.126699436	0.708339119	1
L1210trap_H06_S186_comb	1	1	126	6908	41.49277021	1.600644626	0.920794573	1
L1210trap_G06_S174_comb	1	1	127	6390	36.23300058	2.470450423	0.979639347	1
L1210trap_F06_S162_comb	1	1	128	6205	44.97407915	3.163543509	0.956800134	1
L1210trap_E06_S150_comb	1	1	129	1940	35.81364597	1.893438453	0.969424806	1
L1210trap_D06_S138_comb	1	1	130	5010	53.223154	3.444125702	0.956799069	1
L1210trap_C06_S126_comb	1	1	131	5310	37.6334964	2.013570654	0.923813548	1
L1210trap_B06_S114_comb	1	1	132	7056	47.38448813	2.715511351	0.983794074	1
L1210trap_H07_S187_comb	1	1	133	8148	57.66343335	4.345460564	0.985983372	1
L1210trap_G07_S175_comb	1	1	134	75	54.94332304	3.245529314	0.981415494	1
L1210trap_F07_S163_comb	1	1	135	13	58.55801459	4.198292478	0.988181443	1
L1210trap_E07_S151_comb	1	1	136	916	48.33473814	3.026467036	0.981481016	1
L1210trap_D07_S139_comb	1	1	137	290	35.79128201	2.830017808	0.96190054	1
L1210trap_C07_S127_comb	1	1	138	28	43.99774557	3.104931254	0.981481602	1
L1210trap_B07_S115_comb	1	1	139	6	47.82046491	3.185839415	0.980302655	1
L1210trap_H08_S188_comb	1	1	140	6893	55.24207827	2.497060655	0.933482679	1
L1210trap_G08_S176_comb	1	1	141	3782	43.33179416	3.054429491	0.983240363	1
L1210trap_F08_S164_comb	1	1	142	3675	39.86630255	1.923672538	0.924397796	1
L1210trap_E08_S152_comb	1	1	143	4189	58.24045334	3.859751133	0.990397818	1
L1210trap_D08_S140_comb	1	1	144	6466	42.98765893	2.393175873	0.951943448	1
L1210trap_C08_S128_comb	1	1	145	7332	62.54818706	4.165561587	0.982217737	1
L1210trap_B08_S116_comb	1	1	146	6523	32.13232086	2.253823789	0.939918876	1
L1210serial_A01_S193	504148	66.84	1	7526	42.53273	2.759498	0	2
L1210serial_A02_S194	1381565	63.73	9	6565	40.8029	3.757589	0	2
L1210serial_A03_S195	2701159	63.84	33	8999	49.5089	6.281748	0	2
L1210serial_A04_S196	1210655	65.78	41	8135	99.23779	4.441496	0	2
L1210serial_A05_S197	2450180	67.06	49	8728	139.3922	2.696735	0	2
L1210serial_A06_S198	938158	68.34	57	6442	42.7265	5.520382	0	2
L1210serial_A07_S199	656571	63.28	97	5957	37.60836	1.495958	0	2
L1210serial_A08_S200	1639259	63.75	105	9161	97.12716	6.444871	0	2
L1210serial_A09_S201	827026	68.04	113	7201	72.19708	6.172036	0	2
L1210serial_A10_S202	235920	73.91	121	4508	49.24754	2.942299	0	2
L1210serial_A11_S203	2111735	74.51	129	6548	57.19803	5.481106	0	2
L1210serial_A12_S204	99197	67.37	137	4473	52.10715	5.552888	0	2
L1210serial_B01_S205	1639754	67.35	2	7274	54.58714	4.385747	0	2
L1210serial_B02_S206	2029655	65.36	10	6860	48.59005	3.744569	0	2
L1210serial_B03_S207	2767168	62.77	34	8043	33.54707	2.652188	0	2
L1210serial_B04_S208	2542942	65.15	42	8869	68.26604	4.16984	0	2
L1210serial_B05_S209	696455	70.47	50	6851	62.80728	7.108467	0	2
L1210serial_B06_S210	1694673	65.55	58	7709	59.99014	4.762329	0	2
L1210serial_B07_S211	760190	62.69	98	6569	50.74378	3.395478	0	2
L1210serial_B08_S212	420689	61.98	106	6549	47.89976	1.624748	0	2
L1210serial_B09_S213	1718844	67.47	114	7329	57.77109	5.353177	0	2
L1210serial_B10_S214	1398792	67.4	122	8467	112.9099	7.255557	0	2
L1210serial_B11_S215	323203	64.17	130	5957	45.12487	2.962468	0	2
L1210serial_B12_S216	560214	65.23	138	6148	40.43307	3.440101	0	2
L1210serial_C01_S217	4226157	64.58	3	7797	46.46908	2.530884	0	2
L1210serial_C02_S218	3973918	64.31	11	7351	41.25013	3.355802	0	2
L1210serial_C03_S219	3246954	67.4	35	7634	65.17737	7.076655	0	2
L1210serial_C04_S220	2615725	63.49	43	7641	51.41789	4.849692	0	2
L1210serial_C05_S221	1073482	71.42	51	6698	52.71304	3.958104	0	2
L1210serial_C06_S222	1461008	67.74	59	6729	41.20492	2.811126	0	2
L1210serial_C07_S223	1088478	61.51	99	6660	39.79741	1.79267	0	2
L1210serial_C08_S224	465601	67.81	107	6051	42.62785	3.783868	0	2
L1210serial_C09_S225	4164434	69.46	115	8346	71.48157	5.375519	0	2
L1210serial_C10_S226	306840	70.38	123	5999	42.81564	3.385262	0	2
L1210serial_C11_S227	1096347	69.37	131	7462	66.614	6.504579	0	2
L1210serial_C12_S228	461594	61.02	139	6330	45.37023	3.187833	0	2
L1210serial_D01_S229	2873820	71.75	4	7068	45.45598	3.477883	0	2
