sample	fastq_frag_count	tophat_genome_mapped	tophat_genome_mapped	star_genome_mapped	star_genome_mapped	trans_mapped	trans_mapped	custom_trans_mapped	custom_trans_mapped	rRNA_count	rRNA	gene_count	custom_gene_count	mass	mar	sample	day
FL52_C01_S121	1951	594	30.45	-1	-0.05	481	24.65	-1	-0.05	-1	-1	355	-1	65.36137	6.811851	19	2
FL52_C02_S122	581490	532249	91.53	-1	0	420283	72.28	-1	0	-1	-1	6164	-1	37.20208	2.279701	43	2
FL52_C03_S123	701869	653094	93.05	-1	0	515766	73.48	-1	0	-1	-1	7383	-1	62.30994	3.949414	59	2
FL52_C04_S124	456904	427245	93.51	-1	0	336907	73.74	-1	0	-1	-1	7561	-1	-99999	-99999	67	2
FL52_C05_S125	2412290	2243567	93.01	-1	0	1835113	76.07	-1	0	-1	-1	5718	-1	58.38356	3.703446	75	2
FL52_C06_S126	687463	645574	93.91	-1	0	504945	73.45	-1	0	-1	-1	7850	-1	83.09197	7.72397	83	2
FL52_C07_S127	536294	495456	92.39	-1	0	389777	72.68	-1	0	-1	-1	6955	-1	41.826	2.788541	91	2
FL52_C08_S128	488232	449398	92.05	-1	0	353372	72.38	-1	0	-1	-1	6517	-1	41.49938	4.403335	99	2
FL52_C09_S129	326326	300566	92.11	-1	0	233542	71.57	-1	0	-1	-1	6187	-1	37.10195	2.6639	107	2
FL52_C10_S130	754438	702942	93.17	-1	0	548163	72.66	-1	0	-1	-1	8226	-1	43.41584	4.555285	115	2
FL52_C11_S131	414899	379477	91.46	-1	0	286665	69.09	-1	0	-1	-1	6877	-1	51.18602	5.528435	131	2
FL52_C12_S132	481269	440701	91.57	-1	0	338102	70.25	-1	0	-1	-1	6761	-1	49.12304	4.223432	139	2
FL52_D01_S133	2231992	2083156	93.33	-1	0	1584977	71.01	-1	0	-1	-1	7181	-1	57.01562	4.409769	20	2
FL52_D02_S134	1154996	1079961	93.5	-1	0	802066	69.44	-1	0	-1	-1	7178	-1	49.62983	4.311857	44	2
FL52_D03_S135	1693351	1591760	94	-1	0	1218706	71.97	-1	0	-1	-1	7543	-1	70.63268	1.499874	60	2
FL52_D04_S136	740993	686424	92.64	-1	0	528670	71.35	-1	0	-1	-1	6881	-1	49.2144	4.448499	68	2
FL52_D05_S137	1766530	1660164	93.98	-1	0	1326915	75.11	-1	0	-1	-1	7450	-1	56.55102	3.499934	76	2
FL52_D06_S138	450911	420947	93.35	-1	0	311626	69.11	-1	0	-1	-1	6234	-1	44.15777	3.903709	84	2
FL52_D07_S139	434034	405008	93.31	-1	0	307221	70.78	-1	0	-1	-1	6516	-1	78.09457	1.504047	92	2
FL52_D08_S140	49693	45074	90.7	-1	0	36298	73.04	-1	0	-1	-1	4999	-1	38.45612	2.004756	100	2
FL52_D09_S141	530606	493928	93.09	-1	0	385346	72.62	-1	0	-1	-1	7312	-1	58.73187	4.337095	108	2
FL52_D10_S142	13896	2525	18.17	-1	-0.01	464	3.34	-1	-0.01	-1	-1	93	-1	52.02989	5.329527	116	2
FL52_D11_S143	462762	428169	92.52	-1	0	327616	70.8	-1	0	-1	-1	7255	-1	63.55567	3.767136	132	2
FL52_D12_S144	17581	3825	21.76	-1	-0.01	1301	7.4	-1	-0.01	-1	-1	210	-1	77.40739	1.67068	140	2
FL52_E01_S145	3247594	3009608	92.67	-1	0	2468765	76.02	-1	0	-1	-1	4835	-1	67.91769	4.337857	21	2
FL52_E02_S146	1028153	951760	92.57	-1	0	754767	73.41	-1	0	-1	-1	6591	-1	42.56123	5.717249	45	2
FL52_E03_S147	616944	504259	81.73	-1	0	348378	56.47	-1	0	-1	-1	1165	-1	36.37916	1.997372	61	2
FL52_E04_S148	492526	457057	92.8	-1	0	347526	70.56	-1	0	-1	-1	7384	-1	63.12501	3.700568	69	2
FL52_E05_S149	1679979	1583962	94.28	-1	0	1269842	75.59	-1	0	-1	-1	7626	-1	71.11857	3.500926	77	2
FL52_E06_S150	427722	396403	92.68	-1	0	320995	75.05	-1	0	-1	-1	6216	-1	34.35227	2.885047	85	2
FL52_E07_S151	459927	429548	93.39	-1	0	320781	69.75	-1	0	-1	-1	7318	-1	65.19876	2.693026	93	2
FL52_E08_S152	414770	381015	91.86	-1	0	300121	72.36	-1	0	-1	-1	6558	-1	45.42891	3.526528	101	2
FL52_E09_S153	6304	1228	19.48	-1	-0.02	330	5.23	-1	-0.02	-1	-1	199	-1	-99999	-99999	109	2
FL52_E10_S154	855505	801863	93.73	-1	0	618397	72.28	-1	0	-1	-1	7644	-1	65.68794	4.801573	117	2
FL52_E11_S155	561733	517334	92.1	-1	0	388915	69.23	-1	0	-1	-1	6382	-1	41.18927	4.521974	133	2
FL52_E12_S156	831183	778519	93.66	-1	0	613965	73.87	-1	0	-1	-1	7767	-1	86.2706	5.823946	141	2
FL52_F01_S157	1361242	1273679	93.57	-1	0	1004629	73.8	-1	0	-1	-1	7736	-1	82.64284	2.06277	22	2
FL52_F02_S158	393841	363817	92.38	-1	0	282758	71.79	-1	0	-1	-1	6544	-1	49.63796	3.108746	46	2
FL52_F03_S159	1040342	971387	93.37	-1	0	778867	74.87	-1	0	-1	-1	6322	-1	44.60851	4.581682	62	2
FL52_F04_S160	195632	180592	92.31	-1	0	133201	68.09	-1	0	-1	-1	6460	-1	55.7778	2.90165	70	2
FL52_F05_S161	253672	235572	92.86	-1	0	180428	71.13	-1	0	-1	-1	6165	-1	39.23035	2.644221	78	2
FL52_F06_S162	750397	707114	94.23	-1	0	544632	72.58	-1	0	-1	-1	8321	-1	47.23935	4.086072	86	2
FL52_F07_S163	215323	201297	93.49	-1	0	151875	70.53	-1	0	-1	-1	6688	-1	56.28759	4.847219	94	2
FL52_F08_S164	214271	194850	90.94	-1	0	155479	72.56	-1	0	-1	-1	6279	-1	49.39515	3.753224	102	2
FL52_F09_S165	320856	297815	92.82	-1	0	223786	69.75	-1	0	-1	-1	6397	-1	-99999	-99999	110	2
FL52_F10_S166	277859	253756	91.33	-1	0	187878	67.62	-1	0	-1	-1	6077	-1	39.46508	2.551566	118	2
FL52_F11_S167	339845	313947	92.38	-1	0	229517	67.54	-1	0	-1	-1	6477	-1	47.36332	3.015406	134	2
FL52_F12_S168	793078	743388	93.73	-1	0	564771	71.21	-1	0	-1	-1	8724	-1	103.5608	8.789183	142	2
FL52_G01_S169	580330	533584	91.94	-1	0	409838	70.62	-1	0	-1	-1	5877	-1	-99999	-99999	23	2
FL52_G02_S170	1981036	1858017	93.79	-1	0	1492896	75.36	-1	0	-1	-1	7461	-1	82.41302	5.673449	47	2
FL52_G03_S171	387106	357834	92.44	-1	0	275632	71.2	-1	0	-1	-1	6283	-1	43.03384	3.311665	63	2
FL52_G04_S172	1404822	1312989	93.46	-1	0	1068945	76.09	-1	0	-1	-1	6174	-1	45.15713	1.728187	71	2
FL52_G05_S173	154525	137854	89.21	-1	0	98356	63.65	-1	0	-1	-1	4695	-1	-99999	-99999	79	2
FL52_G06_S174	416190	389070	93.48	-1	0	299804	72.04	-1	0	-1	-1	6930	-1	56.57576	5.421785	87	2
FL52_G07_S175	376899	351917	93.37	-1	0	264919	70.29	-1	0	-1	-1	6367	-1	45.43635	1.3363	95	2
FL52_G08_S176	189592	174656	92.12	-1	0	136093	71.78	-1	0	-1	-1	5440	-1	36.47607	1.617834	103	2
FL52_G09_S177	692226	649387	93.81	-1	0	498507	72.02	-1	0	-1	-1	7029	-1	53.62181	5.824488	111	2
FL52_G10_S178	472375	438543	92.84	-1	0	327453	69.32	-1	0	-1	-1	6721	-1	48.84766	5.466991	119	2
FL52_G11_S179	48348	33586	69.47	-1	0	26550	54.91	-1	0	-1	-1	1456	-1	50.37526	3.584149	135	2
FL52_G12_S180	685361	634505	92.58	-1	0	489921	71.48	-1	0	-1	-1	7892	-1	81.50377	7.020152	143	2
FL52_H01_S181	2741238	2556708	93.27	-1	0	2093381	76.37	-1	0	-1	-1	5705	-1	-99999	-99999	24	2
FL52_H02_S182	697684	644888	92.43	-1	0	506222	72.56	-1	0	-1	-1	5811	-1	37.06623	1.863319	48	2
FL52_H03_S183	269774	246137	91.24	-1	0	179077	66.38	-1	0	-1	-1	5227	-1	33.21246	0.01657109	64	2
FL52_H04_S184	595205	554098	93.09	-1	0	424953	71.4	-1	0	-1	-1	6900	-1	56.88476	4.236466	72	2
FL52_H05_S185	1953657	1837196	94.04	-1	0	1480335	75.77	-1	0	-1	-1	7545	-1	66.12627	5.056988	80	2
FL52_H06_S186	382089	349559	91.49	-1	0	251859	65.92	-1	0	-1	-1	8012	-1	42.80355	2.489667	88	2
FL52_H07_S187	437480	409799	93.67	-1	0	289122	66.09	-1	0	-1	-1	7013	-1	101.5531	-2.243488	96	2
FL52_H08_S188	265972	246208	92.57	-1	0	192342	72.32	-1	0	-1	-1	6179	-1	49.2076	4.709203	104	2
FL52_H09_S189	622318	571740	91.87	-1	0	439553	70.63	-1	0	-1	-1	6551	-1	40.5683	2.766892	112	2
FL52_H10_S190	302157	272085	90.05	-1	0	203281	67.28	-1	0	-1	-1	5816	-1	35.04649	2.974964	120	2
FL52_H11_S191	774540	726113	93.75	-1	0	571945	73.84	-1	0	-1	-1	7689	-1	65.81475	5.152048	136	2
FL52_H12_S192	800765	739444	92.34	-1	0	573156	71.58	-1	0	-1	-1	6843	-1	50.66131	4.229648	144	2
